Country Code,Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Child employment in agriculture, male (% of male economically active children ages 7-14)","Child employment in manufacturing, female (% of female economically active children ages 7-14)","Child employment in manufacturing, male (% of male economically active children ages 7-14)","Child employment in services, female (% of female economically active children ages 7-14)","Child employment in services, male (% of male economically active children ages 7-14)","Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Contraceptive prevalence, any methods (% of women ages 15-49)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Female headed households (% of households with a female head),"Fertility rate, total (births per woman)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Wanted fertility rate (births per woman)
BFA,Burkina Faso,2010,121.1052,0,0,0,0,0,44.8,55.6,41.60990042,44.3783016,58.39009958,55.6216984,16.2,55.15299988,33.88199997,0.289000005,0.894999981,58.72100067,62.51300049,12.22000027,30.93499947,25.26600075,56.03499985,78.86599731,47.02899933,64.87400055,9.9,5.868,59.71799851,81.70600128,57.616,56.442,265.826,296.047,0,0,91.76999664,87.47100067,56.4195,52.51829,23.6,6.166999817,3.474999905,8.604000092,4.872000217,91.48099899,86.57500076,8.229999542,12.52900028,5.4
GMB,"Gambia, The",2015,84.687,92.75,0.08,4.48,2.63,2.77,21.24,26.19,44.04705882,42.84077892,55.95294118,57.15922108,0,15.67500019,11.96100044,1.366000056,1.800999999,35.06900024,23.51600075,23.99200058,60.85300064,52.49200058,44.56900024,63.26300049,30.36199951,40.92200089,0,5.488,51.04000092,67.90899658,62.325,59.655,234.236,289.177,0,0,83.73999786,66.90200043,62.7792,55.79977,0,12.67800045,6.84100008,17.31200028,9.194000244,82.37499714,65.10000038,16.26000023,33.09799957,0
MOZ,Mozambique,1974,159.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.729,0,0,42.719,39.547,411.045,472.602,0,0,0,0,34.67958,29.00841,0,0,0,0,0,0,0,0,0,0
MWI,Malawi,2003,155.4498,0,0,0,0,0,0,0,0,0,0,0,0,8.630000114,6.43200016,0.712000012,1.432999969,88.86599731,80.37200165,11.17099953,2.796999931,8.456000328,67.17700195,75.33899689,51.72700119,50.02700043,0,6.003,74.80000305,79.70600128,49.421,46.239,522.032,619.232,0,0,70.87000275,60.81200028,36.81443,27.98864,0,10.18999958,5.479000092,12.5369997,8.300000191,70.15700054,59.37899876,29.12999916,39.18799973,0
NER,Niger,1984,226.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,41.444,40.189,343.365,381.398,0,0,0,0,36.95395,33.74198,0,0,0,0,0,0,0,0,0,0
STP,Sao Tome and Principe,1998,117.1742,0,0,0,0,0,0,0,0,0,0,0,0,10.65100002,4.425000191,1.687000036,1.89199996,22.50699997,37.23199844,23.59600067,74.01200104,39.17100143,30.29700089,64.18499756,18.21299934,45.06600189,0,5.384,36.95000076,73.51000214,64.847,61.236,197.195,249.649,0,0,60.52899933,48.97800064,66.88798,60.05512,0,18.00600052,12.68500042,24.875,19.42700005,58.84200192,47.08699894,39.47100067,51.02199936,0
ZWE,Zimbabwe,2000,108.0906,0,0,0,0,0,0,0,0,0,0,0,0,12.87899971,10.79199982,0.294999987,0.558000028,71.33599854,53.50799942,17.82299995,24.2310009,28.66900063,63.72900009,75.12999725,47.3219986,54.76300049,0,4.055,66.81199646,80.52799988,46.701,43.016,645.381,730.605,0,0,77.82800293,49.54999924,27.49009,19.67823,0,4.614999771,6.703000069,9.982000351,13.79300022,77.53299904,48.99200058,22.17200089,50.45000076,0
ZWE,Zimbabwe,2016,105.8182,0,0,0,0,0,0,0,0,0,0,0,0,9.982999802,6.440999985,0.483999997,0.833000004,71.77100372,63.11700058,12.46500015,25.96299934,24.41799927,73.72499847,85.02400208,61.44100189,73.60299683,0,3.76,78.20899963,88.91899872,62.898,59.274,319.797,379.617,0,0,76.67700195,55.59999847,57.91942,50.37266,0,5.734000206,4.381000042,9.510000229,7.03399992,76.19399834,54.7670002,23.32299995,44.40000153,0
AGO,Angola,1967,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.613,0,0,37.379,34.292,467.705,531.653,0,0,0,0,27.92782,22.65148,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,2016,106.5448,0,0,0,0,0,0,0,0,0,0,0,25.5,56.35400009,33.04800034,0.331999987,1.006000042,20.43600082,35.40599823,31.34300041,46.92599869,33.25,52.94300079,72.24099731,39.08399963,55.75099945,0,5.353,58.36700058,75.28500366,60.992,59.598,237.615,269.051,0,0,90.76599884,85.80200195,61.24586,56.91098,0,9.293999672,4.044000149,12.80099964,5.423999786,90.43400192,84.79600143,9.234000206,14.19799995,0
